PropertyID,PropType,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Sale_price,RICH
167618,Residential,2500,Res O/S A & 1/2,Brick,1.5,1924,5,1598,1,2,2,1,180000,NO
172721,Residential,2930,Res O/S A & 1/2,Aluminum/Vinyl,1.5,1884,14,1293,1,6,1,0,180000,NO
182510,Residential,1890,Colonial,Masonry/Frame,2,1924,7,1692,1,4,1,1,180000,NO
191244,Condominium,5920,High Rise > 12 Stories,,1,1982,3,755,1,1,1,0,180000,NO
191252,Condominium,5920,High Rise > 12 Stories,,1,1982,4,936,1,2,1,0,180000,NO
199708,Condominium,5901,Mid Rise 4-12 Stories,,1,1901,3,754,1,1,1,0,180000,NO
199735,Condominium,5901,Mid Rise 4-12 Stories,,1,1901,3,774,1,1,1,0,180000,NO
202895,Residential,2700,Duplex O/S,Aluminum/Vinyl,1.5,1925,10,1639,2,4,2,0,180000,NO
203613,Residential,2720,Cottage,Aluminum/Vinyl,1,1925,5,728,1,2,2,0,180000,NO
203659,Residential,2720,Res O/S A & 1/2,Block,1,1913,12,1020,1,6,1,0,180000,NO
203764,Residential,2710,Cape Cod,Asphalt/Other,1,1951,4,755,1,2,1,0,180000,NO
204750,Residential,2710,Cottage,Aluminum/Vinyl,1,1928,6,1052,1,3,1,0,180000,NO
205123,Residential,2720,Cape Cod,Aluminum/Vinyl,1,1949,6,1221,1,3,1,0,180000,NO
205155,Residential,2720,Ranch,Brick,1,1951,8,762,1,4,1,0,180000,NO
205455,Residential,2720,Ranch,Wood,1,1950,4,728,1,2,1,0,180000,NO
207988,Residential,4020,Res O/S A & 1/2,Aluminum/Vinyl,1,1885,7,1381,1,4,1,0,180000,NO
211068,Residential,4060,Res O/S A & 1/2,Asphalt/Other,1,1907,7,1537,1,4,2,0,180000,NO
211421,Residential,4060,Milwaukee Bungalow,Aluminum/Vinyl,1,1919,7,1935,1,5,3,0,180000,NO
213806,Residential,4120,Duplex-Cottage,Asphalt/Other,2,1910,8,2160,2,4,3,0,180000,NO
220600,Residential,4000,Milwaukee Bungalow,Aluminum/Vinyl,1,1916,7,1834,1,4,2,0,180000,NO
221890,Residential,4260,Ranch,Stucco,1,1949,4,819,1,2,1,0,180000,NO
221893,Residential,4260,Ranch,Aluminum/Vinyl,1,1951,4,791,1,2,2,0,180000,NO
222276,Residential,4000,Duplex O/S,Aluminum/Vinyl,1.5,1907,20,2004,2,8,2,0,180000,NO
223200,Residential,4160,Duplex O/S,Aluminum/Vinyl,2,1911,8,1880,2,4,2,0,180000,NO
224282,Residential,4160,Duplex O/S,Asphalt/Other,2,1900,12,2592,2,5,2,0,180000,NO
227420,Condominium,5274,Low Rise 1-3 Stories,,1,1961,4,716,1,2,1,0,180000,NO
231572,Residential,4240,Ranch,Aluminum/Vinyl,1,1949,4,778,1,2,1,0,180000,NO
232500,Residential,4240,Cape Cod,Aluminum/Vinyl,1,1942,5,964,1,3,1,0,180000,NO
